,Apellido,Nombre,Distrito,IniciaMandato,FinalizaMandato,Bloque,INTERBLOQUE
141,Nieri,Lisandro,MENDOZA,16/12/2021,09/12/2023,UCR,JUNTOS POR EL CAMBIO
142,Polini,Juan Carlos,CHACO,10/12/2021,09/12/2025,UCR,JUNTOS POR EL CAMBIO
143,Quetglas,Fabio José,BUENOS AIRES,10/12/2021,09/12/2025,UCR,JUNTOS POR EL CAMBIO
144,Reyes,Roxana,SANTA CRUZ,10/12/2021,09/12/2025,UCR,JUNTOS POR EL CAMBIO
145,Rizzotti,Jorge,JUJUY,10/12/2019,09/12/2023,UCR,JUNTOS POR EL CAMBIO
146,Romero,Victor Hugo,CORDOBA,10/12/2019,09/12/2023,UCR,JUNTOS POR EL CAMBIO
147,Salvador,Sebastián Nicolás,BUENOS AIRES,10/12/2019,09/12/2023,UCR,JUNTOS POR EL CAMBIO
148,Sánchez,Roberto Antonio,TUCUMAN,10/12/2021,09/12/2025,UCR,JUNTOS POR EL CAMBIO
149,Sarapura,Natalia Silvina,JUJUY,13/06/2023,09/12/2025,UCR,JUNTOS POR EL CAMBIO
150,Vara,Jorge,CORRIENTES,10/12/2019,09/12/2023,UCR,JUNTOS POR EL CAMBIO
151,Verasay,Pamela Fernanda,MENDOZA,10/12/2021,09/12/2025,UCR,JUNTOS POR EL CAMBIO
152,Ajmechet,Sabrina,CIUDAD DE BUENOS AIRES,10/12/2021,09/12/2025,PRO,JUNTOS POR EL CAMBIO
153,Angelini,Federico,SANTA FE,10/12/2019,09/12/2023,PRO,JUNTOS POR EL CAMBIO
154,Asseff,Alberto,BUENOS AIRES,10/12/2019,09/12/2023,PRO,JUNTOS POR EL CAMBIO
155,Bachey,Karina Ethel,SAN LUIS,10/12/2021,09/12/2025,PRO,JUNTOS POR EL CAMBIO
156,Baldassi,Héctor W.,CORDOBA,10/12/2021,09/12/2025,PRO,JUNTOS POR EL CAMBIO
157,Besana,Gabriela,BUENOS AIRES,10/12/2021,09/12/2025,PRO,JUNTOS POR EL CAMBIO
158,Brambilla,Sofía,CORRIENTES,10/12/2021,09/12/2025,PRO,JUNTOS POR EL CAMBIO
159,Chumpitaz,Gabriel Felipe,SANTA FE,10/12/2021,09/12/2025,PRO,JUNTOS POR EL CAMBIO
160,Cornejo,Virginia,SALTA,10/12/2019,09/12/2023,PRO,JUNTOS POR EL CAMBIO
161,Crescimbeni,Camila,BUENOS AIRES,10/12/2019,09/12/2023,PRO,JUNTOS POR EL CAMBIO
162,De Marchi,Omar,MENDOZA,10/12/2019,09/12/2023,PRO,JUNTOS POR EL CAMBIO
163,El Sukaria,Soher,CORDOBA,10/12/2019,09/12/2023,PRO,JUNTOS POR EL CAMBIO
164,Figueroa Casas,Germana,SANTA FE,10/12/2021,09/12/2025,PRO,JUNTOS POR EL CAMBIO
165,Finocchiaro,Alejandro,BUENOS AIRES,10/12/2021,09/12/2025,PRO,JUNTOS POR EL CAMBIO
166,Frigerio,Federico,TIERRA DEL FUEGO,10/12/2019,09/12/2023,PRO,JUNTOS POR EL CAMBIO
167,González,Álvaro Gustavo,CIUDAD DE BUENOS AIRES,10/12/2019,09/12/2023,PRO,JUNTOS POR EL CAMBIO
168,Hein,Gustavo René,ENTRE RIOS,10/12/2019,09/12/2023,PRO,JUNTOS POR EL CAMBIO
169,Iglesias,Fernando Adolfo,CIUDAD DE BUENOS AIRES,10/12/2021,09/12/2025,PRO,JUNTOS POR EL CAMBIO
170,Jetter,Ingrid,CORRIENTES,10/12/2019,09/12/2023,PRO,JUNTOS POR EL CAMBIO
171,Joury,María de las Mercedes,BUENOS AIRES,10/12/2019,09/12/2023,PRO,JUNTOS POR EL CAMBIO
172,Klipauka Lewtak,Florencia,MISIONES,10/12/2021,09/12/2025,PRO,JUNTOS POR EL CAMBIO
173,Laspina,Luciano Andrés,SANTA FE,10/12/2021,09/12/2025,PRO,JUNTOS POR EL CAMBIO
174,Lombardi,Hernán,BUENOS AIRES,10/12/2021,09/12/2025,PRO,JUNTOS POR EL CAMBIO
175,Lospennato,Silvia Gabriela,BUENOS AIRES,10/12/2019,09/12/2023,PRO,JUNTOS POR EL CAMBIO
176,Maquieyra,Martín,LA PAMPA,10/12/2021,09/12/2025,PRO,JUNTOS POR EL CAMBIO
177,Martínez,Álvaro,MENDOZA,10/12/2021,09/12/2025,PRO,JUNTOS POR EL CAMBIO
178,Milman,Gerardo,BUENOS AIRES,10/12/2021,09/12/2025,PRO,JUNTOS POR EL CAMBIO
179,Morales Gorleri,Victoria,CIUDAD DE BUENOS AIRES,10/12/2019,09/12/2023,PRO,JUNTOS POR EL CAMBIO
180,Nuñez,José Carlos,SANTA FE,10/12/2019,09/12/2023,PRO,JUNTOS POR EL CAMBIO
181,Ocaña,Graciela,BUENOS AIRES,10/12/2021,09/12/2025,PRO,JUNTOS POR EL CAMBIO
182,Quiroz,Marilú,CHACO,10/12/2021,09/12/2025,PRO,JUNTOS POR EL CAMBIO
183,Rey,María Luján,BUENOS AIRES,10/12/2019,09/12/2023,PRO,JUNTOS POR EL CAMBIO
184,Rezinovsky,Dina,CIUDAD DE BUENOS AIRES,10/12/2019,09/12/2023,PRO,JUNTOS POR EL CAMBIO
185,Ritondo,Cristian Adrián,BUENOS AIRES,10/12/2019,09/12/2023,PRO,JUNTOS POR EL CAMBIO
186,Rodríguez Machado,Laura,CORDOBA,10/12/2021,09/12/2025,PRO,JUNTOS POR EL CAMBIO
187,Romero,Ana Clara,CHUBUT,10/12/2021,09/12/2025,PRO,JUNTOS POR EL CAMBIO
188,Ruarte,Adriana Noemí,CORDOBA,10/12/2019,09/12/2023,PRO,JUNTOS POR EL CAMBIO
189,Sanchez,Francisco,NEUQUEN,10/12/2019,09/12/2023,PRO,JUNTOS POR EL CAMBIO
190,Santilli,Diego,BUENOS AIRES,10/12/2021,09/12/2025,PRO,JUNTOS POR EL CAMBIO
191,Santos,Gustavo,CORDOBA,10/12/2021,09/12/2025,PRO,JUNTOS POR EL CAMBIO
192,Schiavoni,Alfredo Oscar,MISIONES,10/12/2019,09/12/2023,PRO,JUNTOS POR EL CAMBIO
193,Sotolano,María,BUENOS AIRES,10/12/2021,09/12/2025,PRO,JUNTOS POR EL CAMBIO
194,Stefani,Héctor Antonio,TIERRA DEL FUEGO,10/12/2021,09/12/2025,PRO,JUNTOS POR EL CAMBIO
195,Taccetta,Matias,CHUBUT,16/12/2021,09/12/2023,PRO,JUNTOS POR EL CAMBIO
196,Tonelli,Pablo Gabriel,CIUDAD DE BUENOS AIRES,10/12/2019,09/12/2023,PRO,JUNTOS POR EL CAMBIO
197,Torello,Pablo,BUENOS AIRES,10/12/2019,09/12/2023,PRO,JUNTOS POR EL CAMBIO
198,Tortoriello,Anibal,RIO NEGRO,10/12/2021,09/12/2025,PRO,JUNTOS POR EL CAMBIO
199,Vidal,María Eugenia,CIUDAD DE BUENOS AIRES,10/12/2021,09/12/2025,PRO,JUNTOS POR EL CAMBIO
200,Álvarez,Felipe,LA RIOJA,10/12/2019,09/12/2023,SER - SOMOS ENERGIA PARA RENOVAR,SER - SOMOS ENERGÍA PARA RENOVAR
201,Vidal,Claudio Orlando,SANTA CRUZ,10/12/2021,09/12/2025,SER - SOMOS ENERGIA PARA RENOVAR,SER - SOMOS ENERGÍA PARA RENOVAR
202,Amaya,Domingo Luis,TUCUMAN,10/12/2019,09/12/2023,ENCUENTRO FEDERAL,JUNTOS POR EL CAMBIO
203,García De Luca,Sebastián,BUENOS AIRES,10/12/2019,09/12/2023,ENCUENTRO FEDERAL,JUNTOS POR EL CAMBIO
204,Monzó,Emilio,BUENOS AIRES,10/12/2021,09/12/2025,ENCUENTRO FEDERAL,JUNTOS POR EL CAMBIO
205,Stolbizer,Margarita,BUENOS AIRES,10/12/2021,09/12/2025,ENCUENTRO FEDERAL,JUNTOS POR EL CAMBIO
206,Antola,Marcela,ENTRE RIOS,10/12/2021,09/12/2025,EVOLUCION RADICAL,JUNTOS POR EL CAMBIO
207,Berhongaray,Martín Antonio,LA PAMPA,10/12/2019,09/12/2023,EVOLUCION RADICAL,JUNTOS POR EL CAMBIO
