,Unnamed: 0,Apellido,Nombre,Distrito,IniciaMandato,FinalizaMandato,Bloque,INTERBLOQUE
227,227,Stilman,Mariana,BUENOS AIRES,10/12/2019,09/12/2023,COALICIÓN CÍVICA,JUNTOS POR EL CAMBIO
228,228,Zuvic,Mariana,CIUDAD DE BUENOS AIRES,10/12/2019,09/12/2023,COALICIÓN CÍVICA,JUNTOS POR EL CAMBIO
232,232,Camaño,Graciela,BUENOS AIRES,10/12/2019,09/12/2023,IDENTIDAD BONAERENSE,FEDERAL
234,234,Rodríguez,"Alejandro Topo""""",BUENOS AIRES,10/12/2019,09/12/2023,IDENTIDAD BONAERENSE,FEDERAL
237,237,Gutiérrez,Carlos Mario,CORDOBA,10/12/2019,09/12/2023,CÓRDOBA FEDERAL,FEDERAL
239,239,Di Giacomo,Luis,RIO NEGRO,10/12/2019,09/12/2023,JUNTOS SOMOS RIO NEGRO,PROVINCIAS UNIDAS
242,242,Estévez,Enrique,SANTA FE,10/12/2019,09/12/2023,SOCIALISTA,FEDERAL
245,245,Sartori,Diego Horacio,MISIONES,10/12/2019,09/12/2023,FRENTE DE LA CONCORDIA MISIONERO,PROVINCIAS UNIDAS
248,248,Orrego,Humberto Marcelo,SAN JUAN,10/12/2019,09/12/2023,PRODUCCION Y TRABAJO,JUNTOS POR EL CAMBIO
255,255,Castets,Laura Carolina,SANTA FE,10/12/2019,09/12/2023,VALORES REPUBLICANOS,JUNTOS POR EL CAMBIO
